Piloto,Títulos,Construtores,Tot. Títulos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Estreia,Ultima,Etapas por DNF/DQ,Etapas Por Pódio,Etapas Por Vitória
Rene Oliveira,0,0,0,5,0,0,0,0,0,2,0,0,1,0,2013/3,2013/3,5,N/A,N/A
Gabriel Pereira,0,0,0,5,0,0,0,0,1,4,0,1,1,0,2015/1,2015/1,5,N/A,N/A
Marcelo Chelli,0,0,0,5,0,0,0,0,0,2,0,0,1,0,2015/3,2015/3,5,N/A,N/A
Elson Almeida,0,0,0,5,0,0,0,0,1,3,0,0,1,0,2016/1,2016/1,5,N/A,N/A
Weldes Campos,0,0,0,5,0,0,0,0,0,0,0,0,3,0,2016/1,2016/1,1.67,N/A,N/A
Fabio Junior,0,0,0,5,0,0,0,0,3,5,0,0,0,0,2019/1,2019/1,0,N/A,N/A
Guilherme Rech,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2009/2,2009/2,2,N/A,N/A
Dorivaldo Ramalho,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2009/3,2009/3,1,N/A,N/A
Victor Miranda,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2009/3,2009/3,2,N/A,N/A
Thiago Medeiros,0,0,0,4,0,0,0,0,0,1,0,0,3,0,2010/3,2011/2,1.33,N/A,N/A
Leonardo deSouza,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2011/1,2011/1,0,N/A,N/A
Tiago Sousa,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2011/3,2011/3,2,N/A,N/A
Elson Souzasantos,0,0,0,4,1,0,0,1,2,2,0,0,0,0,2012/1,2012/1,0,4,N/A
Carlos Cesar,0,0,0,4,1,0,0,1,1,1,0,0,1,1,2012/1,2012/1,2,4,N/A
Pedro Ruotolo,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2012/1,2012/1,2,N/A,N/A
Daniel Buck,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2012/2,2012/3,2,N/A,N/A
Peter Roberto,0,0,0,4,0,0,0,0,0,1,0,0,2,1,2012/3,2012/3,1.33,N/A,N/A
Rodrigo Bueno,0,0,0,4,0,0,0,0,0,1,0,0,1,0,2013/1,2013/2,4,N/A,N/A
Beto Monteiro,0,0,0,4,0,0,0,0,0,0,0,0,3,1,2013/1,2013/1,1,N/A,N/A
Rafael Bastiani,0,0,0,4,0,0,0,0,1,3,0,0,1,0,2013/3,2013/3,4,N/A,N/A
Fabiano Barbosa,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2013/3,2013/3,4,N/A,N/A
Rodrigo Deslash,0,0,0,4,0,0,0,0,0,0,0,0,2,1,2013/3,2013/3,1.33,N/A,N/A
Fernando Lima,0,0,0,4,1,0,1,0,1,2,0,0,1,0,2015/2,2015/2,4,4,N/A
Gustavo Tino,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2015/3,2015/3,1.33,N/A,N/A
Daniel Ortega,0,0,0,4,0,0,0,0,1,2,0,0,0,0,2018/1,2018/1,0,N/A,N/A
Afonso Goncales,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2020/3,2020/3,0,N/A,N/A
Eduardo Sanchez,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2021/2,2021/2,4,N/A,N/A
Andrey Fajardo,0,0,0,8,3,2,1,0,3,3,0,0,1,0,2022/3,2022/3,8,2.67,4
Edson Colvalan,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2022/3,2022/3,0,N/A,N/A
Andre Parreira,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2010/3,2010/3,1.5,N/A,N/A
Edy Carlos,0,0,0,3,0,0,0,0,0,1,0,0,2,0,2011/3,2011/3,1.5,N/A,N/A
Matheus Maia,0,0,0,3,1,0,0,1,1,1,0,1,0,1,2012/1,2012/1,3,3,N/A
